Time (s) - CH 0,Voltage (V) - CH 0,Voltage (V) - CH 1
8.422m,112.648308m,114.756823m
8.438m,112.667382m,114.298165m
8.453m,112.682879m,113.877952m
8.469m,112.687647m,113.497674m
8.484m,112.735033m,113.056004m
8.500m,112.816691m,112.621188m
8.516m,112.869442m,112.264752m
8.531m,112.917423m,111.905634m
8.547m,112.994909m,111.626089m
8.563m,113.078654m,111.398697m
8.578m,113.179386m,111.174583m
8.594m,113.254488m,111.053288m
8.609m,113.345683m,110.954344m
8.625m,113.452673m,110.884011m
8.641m,113.571882m,110.910535m
8.656m,113.69586m,110.975802m
8.672m,113.77126m,111.134946m
8.688m,113.862157m,111.382604m
8.703m,113.980472m,111.662447m
8.719m,114.0517m,111.979842m
8.734m,114.182234m,112.322271m
8.750m,114.346147m,112.679899m
8.766m,114.416778m,113.051832m
8.781m,114.547312m,113.427937m
8.797m,114.691854m,113.867819m
8.813m,114.789605m,114.334226m
8.828m,114.896595m,114.799738m
8.844m,114.991665m,115.320683m
8.859m,115.107m,115.801096m
8.875m,115.202367m,116.297901m
8.891m,115.288794m,116.792619m
8.906m,115.387738m,117.227137m
8.922m,115.476251m,117.64735m
8.938m,115.582049m,117.984414m
8.953m,115.641356m,118.251145m
8.969m,115.679502m,118.536949m
8.984m,115.773976m,118.757188m
9.000m,115.849376m,118.875206m
9.016m,115.915537m,119.012296m
9.031m,115.936697m,119.063258m
9.047m,115.955174m,119.057894m
9.062m,116.053224m,119.001269m
9.078m,116.065741m,118.876696m
9.094m,116.051435m,118.789077m
9.109m,116.061568m,118.623078m
9.125m,116.087496m,118.38764m
9.141m,116.158426m,118.103027m
9.156m,116.164684m,117.754042m
9.172m,116.18793m,117.367804m
9.187m,116.246641m,116.9312m
9.203m,116.262138m,116.487443m
9.219m,116.265714m,116.124749m
9.234m,116.240978m,115.780234m
9.250m,116.212368m,115.382969m
9.266m,116.192102m,115.031302m
9.281m,116.159022m,114.681721m
9.297m,116.144121m,114.294887m
9.312m,116.10657m,113.962889m
9.328m,116.057098m,113.686919m
9.344m,115.993023m,113.417506m
9.359m,115.934908m,113.161802m
9.375m,115.91047m,112.924278m
9.391m,115.834773m,112.714469m
9.406m,115.815401m,112.513602m
9.422m,115.811229m,112.287998m
9.437m,115.748942m,112.140179m
9.453m,115.738511m,112.079382m
9.469m,115.671158m,111.979246m
9.484m,115.603805m,111.930966m
9.500m,115.632117m,111.923814m
9.516m,115.585625m,111.959279m
9.531m,115.534365m,112.086236m
9.547m,115.525424m,112.200379m
9.562m,115.474164m,112.417936m
9.578m,115.422606m,112.690926m
9.594m,115.33916m,112.979114m
9.609m,115.279853m,113.33853m
9.625m,115.232468m,113.67321m
9.641m,115.166605m,114.013553m
9.656m,115.138292m,114.386082m
9.672m,115.064383m,114.779472m
9.687m,114.979148m,115.184486m
9.703m,114.898682m,115.651786m
9.719m,114.794672m,116.131604m
9.734m,114.716291m,116.546154m
9.750m,114.649534m,116.955042m
9.766m,114.556849m,117.36393m
9.781m,114.425421m,117.773712m
9.797m,114.347041m,118.074715m
9.813m,114.277601m,118.31969m
9.828m,114.151537m,118.578374m
9.844m,114.07882m,118.736625m
9.859m,114.006698m,118.897557m
9.875m,113.937855m,118.93332m
9.891m,113.917887m,118.898451m
9.906m,113.823712m,118.88504m
9.922m,113.740563m,118.781328m
9.938m,113.690794m,118.697882m
9.953m,113.595426m,118.514299m
9.969m,113.53761m,118.344128m
9.984m,113.444924m,118.129849m
10.000m,113.389194m,117.819905m
10.016m,113.373995m,117.533803m
10.031m,113.271177m,117.217302m
10.047m,113.222897m,116.93269m
10.063m,113.18922m,116.536021m
10.078m,113.133788m,116.178691m
10.094m,113.067031m,115.887225m
10.109m,112.988055m,115.602016m
10.125m,112.943649m,115.310252m
10.141m,112.879276m,114.96067m
10.156m,112.862289m,114.663243m
10.172m,112.824738m,114.328861m
10.188m,112.756491m,114.058256m
10.203m,112.736821m,113.790333m
10.219m,112.699568m,113.524795m
10.234m,112.688243m,113.29174m
10.250m,112.666488m,113.034546m
10.266m,112.635791m,112.920105m
10.281m,112.652183m,112.796128m
10.297m,112.622082m,112.704337m
10.313m,112.583637m,112.683773m
10.328m,112.619102m,112.658739m
10.344m,112.600029m,112.707913m
10.359m,112.588406m,112.791657m
10.375m,112.594366m,112.932026m
10.391m,112.597048m,113.008618m
10.406m,112.67513m,113.116503m
10.422m,112.639368m,113.430321m
10.438m,112.540126m,113.878548m
10.453m,112.448633m,114.358366m
10.469m,112.380087m,114.836097m
10.484m,112.339854m,115.364492m
10.500m,112.281442m,115.770996m
10.516m,112.324655m,115.996301m
10.531m,112.394989m,116.229355m
10.547m,112.374723m,116.594732m
10.563m,112.327039m,116.930306m
10.578m,112.329721m,117.181838m
10.594m,112.333894m,117.492676m
10.609m,112.326741m,117.742717m
10.625m,112.341642m,117.885172m
10.641m,112.388432m,117.951632m
10.656m,112.446845m,117.96236m
10.672m,112.476945m,117.93673m
10.688m,112.525225m,117.912292m
10.703m,112.535059m,117.898881m
10.719m,112.53655m,117.827356m
10.734m,112.624764m,117.684305m
10.750m,112.719536m,117.442906m
10.766m,112.814307m,117.169321m
10.781m,112.887621m,116.889179m
10.797m,112.952888m,116.617382m
10.813m,113.058686m,116.323829m
10.828m,113.123059m,115.996897m
10.844m,113.205612m,115.728676m
10.859m,113.304257m,115.395486m
10.875m,113.399327m,115.038157m
10.891m,113.507807m,114.701688m
10.906m,113.586485m,114.343464m
10.922m,113.680661m,114.016235m
